	Match	HOdds	DOdds	VOdds
111	Dijon - Caen 2:0	2.32	3.26	3.24
112	Lille - Angers 1:2	2.42	3.07	3.26
113	Rennes - Troyes 2:0	1.65	3.73	5.83
114	Strasbourg - Montpellier 0:0	3.05	3.10	2.52
115	Troyes - Dijon 0:0	2.54	3.20	2.92
116	Marseille - Bordeaux 1:0	1.61	3.98	5.86
117	Nice - Nantes 1:1	2.22	3.23	3.50
118	Amiens - Toulouse 0:0	2.65	2.98	3.01
119	Caen - Rennes 2:2	2.58	3.09	2.99
120	Troyes - Metz 1:0	2.49	3.21	3.02
121	Monaco - Dijon 4:0	1.34	5.39	8.87
122	Lyon - Rennes 0:2	1.41	4.75	7.77
123	Strasbourg - Troyes 2:1	1.88	3.42	4.55
124	Angers - Monaco 0:4	3.09	3.23	2.42
125	Dijon - Nice 3:2	2.79	3.24	2.64
126	Metz - Montpellier 0:1	3.29	3.20	2.34
127	St Etienne - Marseille 2:2	3.89	3.52	1.97
128	Monaco - Lyon 3:2	2.49	3.54	2.81
129	Rennes - Guingamp 0:1	1.81	3.43	4.94
130	Montpellier - Angers 2:1	2.02	3.12	4.31
131	Rennes - St Etienne 1:1	2.14	3.20	3.73
132	Montpellier - Lyon 1:1	2.93	3.18	2.60
133	Angers - Guingamp 3:0	1.99	3.27	4.25
134	St Etienne - Dijon 2:2	1.68	3.71	5.51
135	Nice - Lille 2:1	1.75	3.50	5.27
136	Lyon - St Etienne 1:1	1.58	4.07	5.98
137	Guingamp - Metz 2:2	1.98	3.42	4.02
138	Nantes - Amiens 0:1	1.61	3.64	6.78
139	Toulouse - Monaco 3:3	4.74	3.56	1.81
140	Lille - Lyon 2:2	4.30	3.52	1.89
141	Angers - St Etienne 0:1	2.60	3.08	2.98
142	Montpellier - Guingamp 1:1	1.74	3.51	5.42
143	Paris SG - Strasbourg 5:2	1.06	14.79	38.23
144	Nantes - Lille 2:2	1.89	3.29	4.68
145	Bordeaux - Amiens 3:2	1.52	3.88	7.72
146	Guingamp - Caen 0:0	2.09	3.22	3.90
147	Toulouse - Paris SG 0:1	16.40	7.12	1.19
148	Caen - Nantes 3:2	2.95	2.98	2.69
149	Nice - Toulouse 0:1	1.82	3.47	4.82
150	Amiens - St Etienne 0:2	2.82	3.02	2.78
151	Lille - Paris SG 0:3	18.75	7.68	1.16
152	Marseille - Metz 6:3	1.28	5.92	10.74
153	Marseille - Monaco 2:2	2.00	3.66	3.75
154	Lille - Strasbourg 2:1	2.20	3.22	3.56
155	Angers - Amiens 1:0	1.91	3.26	4.64
156	Metz - Nice 2:1	2.97	3.23	2.50
157	Toulouse - Troyes 1:0	2.02	3.26	4.12
158	Dijon - Rennes 2:1	2.72	3.35	2.63
159	Lyon - Paris SG 2:1	5.50	4.35	1.59
160	Nice - St Etienne 1:0	1.79	3.55	4.85
161	Amiens - Guingamp 3:1	2.69	3.08	2.85
162	Rennes - Angers 1:0	2.14	3.29	3.64
163	Troyes - Lille 1:0	2.68	3.04	2.91
164	Caen - Marseille 0:2	4.64	3.53	1.83
165	Paris SG - Dijon 8:0	1.05	15.19	37.09
166	Angers - Troyes 3:1	1.89	3.28	4.68
167	Lille - Rennes 1:2	2.30	3.16	3.38
168	Toulouse - Nantes 1:1	2.74	2.99	2.90
169	Monaco - Nice 2:2	1.74	3.80	4.85
170	Marseille - Strasbourg 2:0	1.33	5.46	9.23
171	Nantes - Paris SG 0:1	9.55	5.56	1.31
172	St Etienne - Toulouse 2:0	2.14	3.24	3.69
173	Caen - Lille 0:1	2.28	3.07	3.56
174	Montpellier - Monaco 0:0	2.81	3.13	2.70
175	Troyes - Bordeaux 0:1	2.89	3.04	2.70
176	Strasbourg - Guingamp 0:2	2.61	3.23	2.87
177	Amiens - Nantes 0:1	2.91	2.94	2.76
178	Bordeaux - Montpellier 0:2	2.17	3.06	3.89
179	Lille - Nice 1:1	2.79	3.15	2.70
180	Strasbourg - Bordeaux 0:2	3.14	3.10	2.48
181	Bordeaux - Lyon 3:1	3.67	3.44	2.08
182	Guingamp - Nantes 0:3	2.63	3.07	2.94
183	St Etienne - Caen 2:1	2.00	3.27	4.12
184	Paris SG - Montpellier 4:0	1.13	8.89	21.34
185	Monaco - Metz 3:1	1.34	5.39	8.65
186	Montpellier - Toulouse 2:1	1.83	3.33	5.06
187	Strasbourg - Dijon 3:2	2.18	3.41	3.41
188	Nantes - Bordeaux 0:1	2.24	3.00	3.72
189	Amiens - Montpellier 1:1	3.64	3.00	2.28
190	Guingamp - Lyon 0:2	3.59	3.51	2.08
191	Metz - St Etienne 3:0	2.46	3.33	2.96
192	Bordeaux - Caen 0:2	1.75	3.48	5.37
193	Lyon - Angers 1:1	1.42	4.57	8.00
194	Dijon - Metz 1:1	1.92	3.50	4.22
195	Nice - Amiens 1:0	1.57	3.94	6.51
196	Rennes - Marseille 0:3	3.90	3.40	2.02
197	Angers - Dijon 2:1	2.02	3.29	4.03
198	Guingamp - St Etienne 2:1	1.92	3.45	4.26
199	Marseille - Troyes 3:1	1.29	5.65	10.81
200	Metz - Strasbourg 3:0	2.77	3.29	2.62
201	Paris SG - Caen 3:1	1.07	12.42	31.31
202	Lyon - Marseille 2:0	2.24	3.51	3.21
203	Nantes - Angers 1:0	1.93	3.17	4.73
204	Caen - Guingamp 0:0	2.38	3.11	3.29
205	Montpellier - Metz 1:3	1.47	4.15	7.98
206	Troyes - Amiens 1:0	2.53	3.14	3.01
207	St Etienne - Monaco 0:4	4.64	3.74	1.78
208	Marseille - St Etienne 3:0	1.41	4.74	7.88
209	Amiens - Lyon 1:2	5.09	3.91	1.69
210	Angers - Montpellier 1:1	2.68	2.97	3.00
211	Metz - Rennes 1:1	3.77	3.20	2.14
212	Toulouse - Caen 2:0	2.28	3.09	3.52
213	Bordeaux - Strasbourg 0:3	1.66	3.79	5.56
214	Montpellier - Marseille 1:1	3.39	3.30	2.26
215	St Etienne - Nantes 1:1	2.21	3.04	3.78
216	Lille - Toulouse 1:0	1.99	3.29	4.21
217	Nice - Metz 3:1	1.48	4.35	7.03
218	Troyes - Guingamp 0:1	2.47	3.16	3.08
219	Dijon - Bordeaux 3:2	3.18	3.22	2.37
220	Paris SG - Troyes 2:0	1.04	16.87	43.40
221	Guingamp - Montpellier 0:0	2.83	3.03	2.76
222	Metz - Marseille 0:3	6.10	4.34	1.53
223	Toulouse - Nice 1:2	2.71	3.10	2.83
224	Bordeaux - St Etienne 3:0	1.79	3.47	5.05
225	Strasbourg - Caen 0:0	2.03	3.43	3.80
226	Monaco - Paris SG 1:2	7.05	5.25	1.41
227	Nice - Lyon 0:5	3.07	3.52	2.29
228	Caen - Bordeaux 1:0	3.35	3.21	2.30
229	Metz - Amiens 0:2	2.81	3.02	2.80
230	Monaco - Rennes 2:1	1.41	4.70	8.07
231	Toulouse - Lyon 1:2	4.19	3.68	1.86
232	Nice - Bordeaux 1:0	2.13	3.35	3.62
233	Dijon - Lille 3:0	2.30	3.21	3.35
234	Strasbourg - Toulouse 2:1	2.22	3.23	3.50
235	Rennes - Paris SG 1:4	13.63	6.72	1.21
236	Nantes - Nice 1:2	2.15	3.20	3.73
237	Guingamp - Dijon 4:0	2.21	3.29	3.46
238	Monaco - Troyes 3:2	1.30	5.43	10.83
239	Paris SG - Lille 3:1	1.12	9.79	21.66
240	Caen - Lyon 1:2	4.37	3.74	1.82
241	Monaco - Angers 1:0	1.47	4.67	6.72
242	Rennes - Amiens 2:0	2.04	3.08	4.36
243	Strasbourg - Paris SG 2:1	17.75	8.59	1.15
244	Angers - Rennes 1:2	2.13	3.17	3.82
245	Lyon - Lille 1:2	1.33	5.45	9.43
246	Nantes - Monaco 1:0	3.63	3.37	2.10
247	Amiens - Dijon 2:1	2.37	3.13	3.27
248	Marseille - Guingamp 1:0	1.43	4.72	7.47
249	Dijon - Toulouse 3:1	2.24	3.18	3.52
250	Montpellier - Lille 3:0	1.98	3.18	4.47
251	Rennes - Nantes 2:1	2.67	2.88	3.10
252	St Etienne - Strasbourg 2:2	1.93	3.46	4.17
253	Amiens - Lille 3:0	2.87	3.11	2.66
254	Bordeaux - Marseille 1:1	2.27	3.41	3.23
255	Caen - Nice 1:1	2.61	3.13	2.91
