	Match	HOdds	DOdds	VOdds
215	Wolfsburg - Hoffenheim 1:1	2.55	3.55	2.73
216	FC Koln - Werder Bremen 0:0	2.50	3.38	2.89
217	Hamburger SV - Bayern Munich 0:1	13.17	7.12	1.22
218	B. Monchengladbach - Bayer Leverkusen 1:5	2.79	3.65	2.47
219	RB Leipzig - Stuttgart 1:0	1.45	4.72	7.13
220	Schalke - Mainz 2:0	1.74	3.79	4.98
221	Werder Bremen - B. Monchengladbach 0:2	2.78	3.47	2.54
222	Dortmund - RB Leipzig 2:3	1.54	4.47	5.92
223	Hannover - Eintracht Frankfurt 1:2	2.63	3.19	2.86
224	Hoffenheim - Augsburg 2:2	1.86	3.77	4.22
225	Stuttgart - FC Koln 2:1	1.89	3.63	4.31
226	FC Koln - RB Leipzig 1:2	3.73	3.42	2.09
227	Freiburg - Hoffenheim 3:2	3.26	3.54	2.22
228	Hamburger SV - Werder Bremen 0:0	2.67	3.30	2.75
229	Schalke - Hamburger SV 2:0	1.71	3.71	5.32
230	Bayer Leverkusen - RB Leipzig 2:2	2.41	3.66	2.84
231	Hoffenheim - Eintracht Frankfurt 1:1	2.26	3.57	3.14
232	Wolfsburg - Freiburg 3:1	1.65	3.93	5.60
233	FC Koln - Hoffenheim 0:3	2.63	3.54	2.65
234	Augsburg - Bayer Leverkusen 1:1	3.25	3.67	2.17
235	Freiburg - Schalke 0:1	3.78	3.45	2.06
236	RB Leipzig - Hannover 2:1	1.49	4.57	6.76
237	Werder Bremen - Augsburg 0:3	2.14	3.44	3.56
238	Bayer Leverkusen - FC Koln 2:1	1.42	5.06	7.29
239	Hertha Berlin - Hamburger SV 2:1	2.13	3.24	3.84
240	Schalke - Wolfsburg 1:1	1.83	3.62	4.59
241	Freiburg - Hertha Berlin 1:1	2.91	3.15	2.63
242	Augsburg - Hannover 1:2	1.97	3.56	3.97
243	Eintracht Frankfurt - Dortmund 2:2	3.91	3.69	1.95
244	Bayer Leverkusen - Wolfsburg 2:2	1.57	4.34	5.81
245	Bayern Munich - Freiburg 5:0	1.09	12.48	26.64
246	Hertha Berlin - Schalke 0:2	2.68	3.20	2.82
247	Mainz - Hamburger SV 3:2	1.79	3.66	4.78
248	Hertha Berlin - Bayern Munich 2:2	11.22	5.85	1.29
249	Wolfsburg - Mainz 1:1	2.17	3.34	3.57
250	Augsburg - Dortmund 1:2	5.63	4.30	1.59
251	Eintracht Frankfurt - Stuttgart 2:1	2.10	3.36	3.77
252	Schalke - Bayer Leverkusen 1:1	2.56	3.53	2.73
253	Bayer Leverkusen - Hamburger SV 3:0	1.38	5.21	8.28
254	Dortmund - B. Monchengladbach 6:1	1.40	5.13	7.64
255	Mainz - Hertha Berlin 1:0	2.22	3.29	3.48
256	Stuttgart - Augsburg 0:0	2.20	3.37	3.47
257	Bayern Munich - Wolfsburg 2:2	1.13	9.60	19.49
258	Freiburg - Hannover 1:1	2.93	3.26	2.53
259	Hertha Berlin - Bayer Leverkusen 2:1	3.15	3.43	2.30
260	FC Koln - Eintracht Frankfurt 0:1	2.91	3.25	2.55
261	Augsburg - RB Leipzig 1:0	3.32	3.50	2.20
262	Wolfsburg - Werder Bremen 1:1	1.99	3.56	3.86
263	Dortmund - FC Koln 5:0	1.32	5.87	9.03
264	Hoffenheim - Hertha Berlin 1:1	1.76	3.80	4.80
265	RB Leipzig - B. Monchengladbach 2:2	1.70	4.06	4.89
266	Eintracht Frankfurt - Augsburg 1:2	1.95	3.46	4.20
267	Werder Bremen - Schalke 1:2	2.75	3.38	2.62
268	Hannover - Hamburger SV 2:0	2.01	3.47	3.96
269	Schalke - Stuttgart 3:1	1.75	3.77	4.86
270	Hoffenheim - Bayern Munich 2:0	6.63	4.84	1.46
271	B. Monchengladbach - Eintracht Frankfurt 0:1	1.92	3.58	4.18
272	Mainz - Bayer Leverkusen 3:1	3.31	3.53	2.19
273	Hamburger SV - RB Leipzig 0:2	4.05	3.68	1.92
274	Hannover - Schalke 1:0	3.11	3.33	2.39
275	Dortmund - Hertha Berlin 2:0	1.40	4.99	8.08
276	Bayer Leverkusen - Hoffenheim 2:2	2.00	3.80	3.63
277	Stuttgart - Mainz 1:0	2.42	3.40	3.01
278	FC Koln - Hamburger SV 1:3	2.02	3.41	3.96
279	B. Monchengladbach - FC Koln 1:0	1.81	3.70	4.71
280	B. Monchengladbach - Hannover 2:1	1.73	3.88	4.87
281	Hannover - FC Koln 0:0	2.01	3.52	3.83
282	Hoffenheim - Schalke 2:0	2.11	3.59	3.47
283	RB Leipzig - Eintracht Frankfurt 2:1	1.76	3.67	5.05
284	Werder Bremen - Freiburg 0:0	1.78	3.92	4.48
285	Hamburger SV - Dortmund 0:3	8.19	5.23	1.37
286	Mainz - Hoffenheim 2:3	2.56	3.44	2.76
287	Schalke - Bayern Munich 0:3	6.04	4.34	1.56
288	B. Monchengladbach - Stuttgart 2:0	1.71	3.96	4.94
289	Bayer Leverkusen - Freiburg 4:0	1.41	4.97	7.78
290	Bayern Munich - Mainz 4:0	1.16	8.16	16.75
291	Stuttgart - Wolfsburg 1:0	2.28	3.50	3.16
292	Hertha Berlin - Werder Bremen 1:1	2.10	3.48	3.61
293	Augsburg - FC Koln 3:0	2.27	3.36	3.33
294	Freiburg - Dortmund 0:0	8.92	5.53	1.34
295	Wolfsburg - Hannover 1:1	1.86	3.61	4.37
296	RB Leipzig - Freiburg 4:1	1.38	4.91	8.79
297	Augsburg - B. Monchengladbach 2:2	3.34	3.38	2.24
298	Eintracht Frankfurt - Wolfsburg 0:1	2.17	3.31	3.59
299	Werder Bremen - Bayern Munich 0:2	12.15	6.79	1.24
300	Freiburg - Eintracht Frankfurt 0:0	2.76	3.17	2.79
301	Schalke - RB Leipzig 2:0	2.81	3.40	2.56
302	Hertha Berlin - Stuttgart 2:0	2.00	3.53	3.90
303	Mainz - Hannover 0:1	1.89	3.61	4.30
304	Bayern Munich - Bayer Leverkusen 3:1	1.27	6.24	10.49
305	Hamburger SV - Augsburg 1:0	2.22	3.30	3.49
306	Hoffenheim - Werder Bremen 1:0	1.79	4.01	4.29
307	Wolfsburg - Dortmund 0:3	3.89	3.81	1.91
