	Match	HOdds	DOdds	VOdds
239	Las Palmas - Espanyol 2:2	2.44	3.34	3.02
240	Girona - Getafe 1:0	2.21	3.29	3.55
241	Eibar - Valencia 2:1	2.70	3.39	2.68
242	Levante - Ath Bilbao 1:2	3.89	3.38	2.06
243	Real Sociedad - Malaga 0:2	1.52	4.42	6.50
244	Dep. La Coruna - Leganes 1:0	2.36	3.25	3.25
245	Getafe - Eibar 0:0	2.05	3.40	3.89
246	Eibar - Espanyol 3:1	2.30	3.22	3.40
247	Leganes - Villarreal 3:1	2.85	3.19	2.66
248	Sevilla - Dep. La Coruna 2:0	1.41	5.15	7.37
249	Barcelona - Celta Vigo 2:2	1.13	9.57	19.73
250	Espanyol - Getafe 1:0	2.22	3.24	3.62
251	Valencia - Barcelona 1:1	4.63	4.50	1.68
252	Real Sociedad - Las Palmas 2:2	1.41	5.13	7.28
253	Levante - Atl. Madrid 0:5	6.91	3.84	1.58
254	Real Madrid - Malaga 3:2	1.10	11.86	24.85
255	Celta Vigo - Leganes 1:0	1.94	3.39	4.35
256	Eibar - Betis 5:0	2.24	3.47	3.31
257	Ath Bilbao - Villarreal 1:1	2.19	3.34	3.50
258	Espanyol - Valencia 0:2	2.70	3.38	2.69
259	Atl. Madrid - Real Madrid 0:0	3.18	3.36	2.36
260	Leganes - Barcelona 0:3	8.73	4.98	1.38
261	Girona - Real Sociedad 1:1	2.90	3.51	2.44
262	Real Madrid - Las Palmas 3:0	1.08	13.09	26.97
263	Villarreal - Malaga 2:0	1.64	3.94	5.72
264	Levante - Girona 1:2	2.62	3.24	2.87
265	Barcelona - Sevilla 2:1	1.23	7.24	11.71
266	Dep. La Coruna - Atl. Madrid 0:1	5.06	3.60	1.77
267	Betis - Getafe 2:2	2.03	3.54	3.76
268	Espanyol - Betis 1:0	2.02	3.61	3.74
269	Malaga - Celta Vigo 2:1	3.22	3.49	2.27
270	Girona - Real Madrid 2:1	12.51	6.98	1.23
271	Sevilla - Leganes 2:1	1.65	3.84	5.76
272	Atl. Madrid - Villarreal 1:1	1.63	3.84	6.08
273	Dep. La Coruna - Girona 1:2	2.05	3.54	3.70
274	Real Madrid - Eibar 3:0	1.09	11.85	25.41
275	Celta Vigo - Atl. Madrid 0:1	3.77	3.34	2.10
276	Barcelona - Malaga 2:0	1.07	14.46	32.39
277	Betis - Alaves 2:0	1.61	3.99	5.85
278	Villarreal - Sevilla 2:3	2.17	3.54	3.38
279	Dep. La Coruna - Ath Bilbao 2:2	2.82	3.23	2.67
280	Betis - Girona 2:2	1.99	3.71	3.71
281	Alaves - Eibar 1:2	2.90	2.97	2.81
282	Las Palmas - Levante 0:2	1.72	3.94	4.88
283	Malaga - Dep. La Coruna 3:2	2.37	3.32	3.16
284	Sevilla - Celta Vigo 2:1	1.65	4.17	5.20
285	Getafe - Alaves 4:1	1.78	3.46	5.29
286	Real Sociedad - Eibar 3:1	1.52	4.34	6.59
287	Celta Vigo - Ath Bilbao 3:1	2.15	3.42	3.54
288	Alaves - Espanyol 1:0	2.81	3.04	2.82
289	Valencia - Leganes 3:0	1.52	4.26	6.84
290	Las Palmas - Dep. La Coruna 1:3	2.04	3.70	3.58
291	Eibar - Levante 2:2	2.00	3.31	4.26
292	Getafe - Real Sociedad 2:1	2.45	3.33	3.01
293	Ath Bilbao - Barcelona 0:2	7.29	4.72	1.45
294	Alaves - Valencia 1:2	5.35	3.90	1.68
295	Real Sociedad - Espanyol 1:1	1.71	3.95	5.07
296	Leganes - Ath Bilbao 1:0	2.67	3.01	3.00
297	Villarreal - Las Palmas 4:0	1.57	4.26	5.92
298	Valencia - Sevilla 4:0	2.15	3.70	3.31
299	Levante - Getafe 1:1	2.57	3.14	3.02
300	Las Palmas - Celta Vigo 2:5	2.62	3.45	2.73
301	Betis - Valencia 3:6	2.73	3.54	2.56
302	Girona - Villarreal 1:2	2.68	3.30	2.75
303	Atl. Madrid - Barcelona 1:1	3.03	3.38	2.44
304	Getafe - Real Madrid 1:2	9.67	5.87	1.31
305	Espanyol - Levante 0:0	1.76	3.67	5.13
306	Real Madrid - Espanyol 2:0	1.12	10.25	21.75
307	Villarreal - Eibar 3:0	1.75	3.72	5.06
308	Real Sociedad - Betis 4:4	1.88	3.72	4.19
