	Match	HOdds	DOdds	VOdds
306	AS Roma - Napoli 0:1	3.24	3.60	2.21
307	Atalanta - Juventus 2:2	4.96	3.51	1.81
308	Benevento - Inter 1:2	10.52	5.80	1.29
309	Lazio - Sassuolo 6:1	1.52	4.38	6.59
310	Torino - Verona 2:2	1.31	5.75	10.12
311	Genoa - Bologna 0:1	2.25	3.23	3.48
312	Fiorentina - Atalanta 1:1	2.28	3.42	3.24
313	Cagliari - Chievo 0:2	2.25	3.29	3.41
314	Inter - Genoa 1:0	1.34	5.25	9.58
315	Sampdoria - AC Milan 2:0	3.70	3.63	2.03
316	Juventus - Torino 4:0	1.40	4.85	8.46
317	AS Roma - Udinese 3:1	1.24	6.40	12.58
318	AC Milan - Spal 2:0	1.24	6.34	12.94
319	Cagliari - Sassuolo 0:1	2.19	3.43	3.41
320	Juventus - Fiorentina 1:0	1.38	4.87	8.96
321	Udinese - Torino 2:3	3.14	3.54	2.27
322	Benevento - AS Roma 0:4	9.52	5.56	1.32
323	Bologna - Inter 1:1	5.92	4.01	1.61
324	Genoa - Lazio 2:3	4.07	3.58	1.94
325	AC Milan - Udinese 2:1	1.38	4.92	8.64
326	Spal - Cagliari 0:2	2.42	3.30	3.04
327	Sassuolo - Juventus 1:3	7.93	4.32	1.47
328	AS Roma - Verona 3:0	1.20	7.02	14.52
329	Bologna - Spal 2:1	1.96	3.34	4.29
330	Crotone - Torino 2:2	3.40	3.35	2.23
331	Sassuolo - Chievo 0:0	2.23	3.29	3.48
332	Juventus - Lazio 1:2	1.57	4.16	6.13
333	AC Milan - AS Roma 0:2	2.52	3.54	2.76
334	Chievo - Fiorentina 2:1	2.92	3.29	2.52
335	Spal - Crotone 1:1	1.92	3.41	4.39
336	Napoli - Cagliari 3:0	1.13	9.59	20.80
337	Udinese - Sampdoria 4:0	2.56	3.30	2.90
338	Sassuolo - Bologna 0:1	2.08	3.33	3.87
339	Crotone - Benevento 2:0	2.01	3.31	4.14
340	Verona - Lazio 0:3	5.92	4.22	1.58
341	Spal - Napoli 2:3	12.82	6.50	1.24
342	Atalanta - Crotone 5:1	1.37	4.84	9.76
343	Genoa - Chievo 1:1	2.23	3.27	3.48
344	Lazio - Napoli 1:4	3.45	3.59	2.11
345	Verona - Sampdoria 0:0	3.59	3.43	2.12
346	Chievo - Atalanta 1:1	2.96	3.24	2.53
347	Napoli - Benevento 6:0	1.10	10.52	24.06
348	Torino - Sampdoria 2:2	1.71	3.98	4.83
349	Fiorentina - Bologna 2:1	1.54	4.21	6.41
350	Crotone - Inter 0:2	8.36	4.76	1.40
351	Bologna - Napoli 0:3	9.02	5.12	1.36
352	Lazio - AC Milan 4:1	2.37	3.52	3.05
353	Cagliari - Crotone 1:0	1.63	3.97	5.77
354	Verona - Fiorentina 0:5	3.72	3.49	2.06
355	Juventus - Chievo 3:0	1.24	6.06	14.21
356	AC Milan - Cagliari 2:1	1.31	5.50	10.20
357	Crotone - Verona 0:0	2.72	3.18	2.78
358	Napoli - Atalanta 3:1	1.35	5.21	9.00
359	Torino - Sassuolo 3:0	1.67	4.02	5.16
360	AS Roma - Inter 1:3	2.23	3.52	3.22
361	Genoa - Juventus 2:4	8.23	4.40	1.44
362	Bologna - Torino 1:1	3.22	3.35	2.31
363	Inter - Fiorentina 3:0	1.51	4.33	6.75
364	Sampdoria - Benevento 2:1	1.63	3.94	5.72
365	Udinese - Chievo 1:2	2.05	3.34	3.93
366	Verona - Napoli 1:3	7.88	4.80	1.41
367	Benevento - Torino 0:1	3.99	3.67	1.93
368	Atalanta - Sassuolo 2:1	1.63	3.93	5.81
369	Udinese - Genoa 1:0	2.44	3.17	3.18
370	Inter - Spal 2:0	1.22	6.74	13.59
371	Chievo - Lazio 1:2	3.93	3.46	2.01
372	Fiorentina - Sampdoria 1:2	1.69	4.07	4.89
373	Spal - Udinese 3:2	2.49	3.27	2.99
374	Benevento - Bologna 0:1	2.63	3.22	2.83
375	Crotone - AC Milan 0:3	7.07	4.24	1.50
376	Lazio - Spal 0:0	1.28	5.82	11.13
377	Sassuolo - Genoa 0:0	1.93	3.54	4.16
378	Atalanta - AS Roma 0:1	2.90	3.42	2.46
379	Juventus - Cagliari 3:0	1.15	8.27	20.48
